===
-	Tao Pun	2017	13.80640877265645,100.53086757659912
-	Bang Pho	2017	13.806408772656463,100.5215334892273
-	Bang Or	2017	13.799011268871933,100.50979614257812
-	Bang Phlat	2017	13.793317114982019,100.50558507442474
-	Sirindhorn	2017	13.784590671788441,100.49445390701294
-	Bang Yi Khan	2017	13.778088608340259,100.48592448235138
-	Bang Khun Non	2017	13.763916817710504,100.47383308410645
-	Yaek Fai Chai	2017	13.754861010600248,100.46943426132202
-	Charan Sanitwong 13	2017	13.741313119559672,100.47058224679733

-	Wat Mangkon	2017	13.741813362524956,100.51045060176989
-	Wang Burapha	2017	13.747034593543262,100.50227522855744
-	Sanam Chai	2017	13.744356252275384,100.49458265304565
-	Itsaraphap	2017	13.738071930551934,100.48537731170654
-	Tha Phra	2017	13.729411171254535,100.47414422035217
-	Bang Phai	2017	13.724429265871235,100.4648369550705
-	Bang Wa	2017	13.720619808681985,100.45783638954163
-	Phet Kasem 48	2017	13.71522080036715,100.44449508190155
-	Phasi Charoen	2017	13.712833940556052,100.43401837350223
-	Bang Khae	2017	13.711947981982341,100.42235612869263
-	Lak Song	2017	13.710843134903786,100.4095995426178

blue-0	MRT Blue Line	2004-07-03	13.801991136646366,100.54013729095459 13.798073540369531,100.54794788360596 13.797865156484027,100.54983615705055 13.798615339519545,100.55138111114502 13.80378320662578,100.55417060852051 13.812576652723026,100.55919170379639 13.813035069725197,100.56069374084473 13.805950342622719,100.5734395980835 13.803991585962214,100.57476997375488 13.799115460695095,100.5743408203125 13.789029476489924,100.57412624359131 13.779026417156157,100.57356834411621 13.77152384157034,100.57318210601807 13.768981247431455,100.57240962982178 13.767188910357543,100.57103633880615 13.759977741002368,100.5657148361206 13.757851862526238,100.56515693664551 13.748639499327185,100.56309700012207 13.738426274900641,100.56146621704102 13.732840078117267,100.55983543395996 13.7237101117945,100.56013584136963 13.721583904240232,100.55949211120605 13.720708401412068,100.55781841278076 13.72275123626314,100.55344104766846 13.726336576876083,100.54494380950928 13.729504971805362,100.53661823272705 13.732798389581149,100.52932262420654 13.737884336268078,100.51700592041016

blue-1	MRT Blue Ext-1	2017	13.801991136646366,100.54013729095459 13.804554209240486,100.53595304489136 13.80640877265645,100.53086757659912 13.806408772606146,100.52153348922536 13.806096061957906,100.51365702731005 13.804832704919582,100.51239895366348 13.801318847653892,100.51148421639982 13.799011268871958,100.50979614257812 13.79331711498955,100.50558507442588 13.78959204397086,100.50263916691733 13.784590671788417,100.49445390701294 13.780881197544053,100.48842960621755 13.77808860841813,100.48592448235695 13.763916817606399,100.47383308410645 13.75843019431138,100.46927328621973 13.754861010572387,100.46943426132293 13.74131311955967,100.47058224679733 13.735153711279215,100.4712474798389 13.729411171254508,100.47414422035217

blue-2	MRT Blue Ext-2	2017	13.737884336268078,100.51700592041016 13.738322056030169,100.51501035690308 13.741813362413858,100.51045060178421 13.746659419185077,100.50441026687622 13.747034593543262,100.50227522855744 13.74740976731423,100.4950761795044 13.74659689006582,100.4943037033081 13.744356252275384,100.49458265304565 13.74292848585237,100.49479722976685 13.7398228032933,100.49269437789917 13.738071930551934,100.48537731170654 13.729411171254522,100.47414422035217 13.724429265871235,100.4648369550705 13.7205833293128,100.4578685760498 13.71765200747494,100.45219026318023 13.715220800367137,100.44449508190155 13.71336035467779,100.43884900530497 13.712833940588151,100.43401837350223 13.711947981982341,100.42235612869263 13.710843134903786,100.4095995426178
